Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",73,67.5,66.8,72.9
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",68,65.7,67.6,68.6
"Cincinnati, OH-KY-IN7............................................................................................",66.6,71.5,76.7,73.3
"Cleveland-Elyria, OH8..............................................................................................",60.3,67.2,66.7,64.6
"Columbia, SC………………………………………….",70.7,68.1,72.1,66.7
"Columbus, OH............................................................................................................................................",67.4,64.2,64.4,62.2
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",63.7,60.7,60.8,62
"Dayton, OH...........................................................................................................................................................",60.8,62.2,67.2,67.8
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",61.1,64.4,61.9,63.5
"Detroit-Warren-Dearborn, MI10....................................................................................................................",72.6,70.6,73.5,69.7
"Fresno, CA………………………………………………",59.7,48.2,57.6,62.3
"Grand Rapids-Wyoming, MI....................................................................................................................................",61.2,59.7,68.9,70
"Greensboro-High Point, NC............................................................................................................................",67.4,62.9,54.5,62.9
"Hartford-West Hartford-East Hartford, CT................................................................................",69.4,70.3,72.2,71.1
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",65.6,64.6,62.2,64.1
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",69.7,67.1,72.5,71
