year,msa,exog_shock
2009,Fort Lauderdale - FL,0
2010,Fort Lauderdale - FL,0
2011,Fort Lauderdale - FL,0
2012,Fort Lauderdale - FL,0
2013,Fort Lauderdale - FL,0
2014,Fort Lauderdale - FL,0
2015,Fort Lauderdale - FL,0
2016,Fort Lauderdale - FL,0
2017,Fort Lauderdale - FL,0
2018,Fort Lauderdale - FL,0
2019,Fort Lauderdale - FL,0
2020,Fort Lauderdale - FL,0
2021,Fort Lauderdale - FL,0
2022,Fort Lauderdale - FL,0
2023,Fort Lauderdale - FL,0
2024,Fort Lauderdale - FL,0
2000,Fresno - CA,0
2001,Fresno - CA,0
2002,Fresno - CA,0
2003,Fresno - CA,0
2004,Fresno - CA,0
2005,Fresno - CA,0
2006,Fresno - CA,0
2007,Fresno - CA,0
2008,Fresno - CA,0
2009,Fresno - CA,0
2010,Fresno - CA,0
2011,Fresno - CA,0
2012,Fresno - CA,0
2013,Fresno - CA,0
2014,Fresno - CA,0
2015,Fresno - CA,0
2016,Fresno - CA,0
2017,Fresno - CA,0
2018,Fresno - CA,0
2019,Fresno - CA,0
2020,Fresno - CA,0
2021,Fresno - CA,0
2022,Fresno - CA,0
2023,Fresno - CA,0
2024,Fresno - CA,0
2000,Gainesville - FL,0
2001,Gainesville - FL,0
2002,Gainesville - FL,0
2003,Gainesville - FL,0
2004,Gainesville - FL,0
2005,Gainesville - FL,0
2006,Gainesville - FL,0
2007,Gainesville - FL,0
2008,Gainesville - FL,0
2009,Gainesville - FL,0
2010,Gainesville - FL,0
2011,Gainesville - FL,0
2012,Gainesville - FL,0
2013,Gainesville - FL,0
2014,Gainesville - FL,0
2015,Gainesville - FL,0
2016,Gainesville - FL,0
2017,Gainesville - FL,0
2018,Gainesville - FL,0
2019,Gainesville - FL,0
2020,Gainesville - FL,0
2021,Gainesville - FL,0
2022,Gainesville - FL,0
2023,Gainesville - FL,0
2024,Gainesville - FL,0
2000,Grand Rapids - MI,0
2001,Grand Rapids - MI,0
2002,Grand Rapids - MI,0
2003,Grand Rapids - MI,0
2004,Grand Rapids - MI,0
2005,Grand Rapids - MI,0
2006,Grand Rapids - MI,0
2007,Grand Rapids - MI,0
2008,Grand Rapids - MI,0
2009,Grand Rapids - MI,0
2010,Grand Rapids - MI,0
2011,Grand Rapids - MI,0
2012,Grand Rapids - MI,0
2013,Grand Rapids - MI,0
2014,Grand Rapids - MI,0
2015,Grand Rapids - MI,0
2016,Grand Rapids - MI,0
2017,Grand Rapids - MI,0
2018,Grand Rapids - MI,0
2019,Grand Rapids - MI,0
2020,Grand Rapids - MI,0
2021,Grand Rapids - MI,0
2022,Grand Rapids - MI,0
2023,Grand Rapids - MI,0
2024,Grand Rapids - MI,0
2000,Greensboro - NC,0
2001,Greensboro - NC,0
2002,Greensboro - NC,0
2003,Greensboro - NC,0
2004,Greensboro - NC,0
2005,Greensboro - NC,0
2006,Greensboro - NC,0
2007,Greensboro - NC,0
2008,Greensboro - NC,0
2009,Greensboro - NC,0
2010,Greensboro - NC,0
2011,Greensboro - NC,0
2012,Greensboro - NC,0
2013,Greensboro - NC,0
2014,Greensboro - NC,0
2015,Greensboro - NC,0
2016,Greensboro - NC,0
2017,Greensboro - NC,0
2018,Greensboro - NC,0
2019,Greensboro - NC,0
2020,Greensboro - NC,0
2021,Greensboro - NC,0
